iter	Passed	Remaining
918	50814	4478
919	50871	4423
920	50927	4368
921	50983	4313
922	51050	4258
923	51108	4203
924	51164	4148
925	51215	4092
926	51256	4036
927	51309	3980
928	51368	3925
929	51428	3870
930	51500	3816
931	51565	3762
932	51632	3707
933	51699	3653
934	51763	3598
935	51814	3542
936	51878	3488
937	51936	3432
938	52004	3378
939	52062	3323
940	52124	3268
941	52184	3213
942	52232	3157
943	52290	3101
944	52350	3046
945	52409	2991
946	52460	2936
947	52530	2881
948	52587	2826
949	52647	2770
950	52712	2715
951	52780	2661
952	52835	2605
953	52900	2550
954	52957	2495
955	53020	2440
956	53077	2384
957	53134	2329
958	53188	2273
959	53240	2218
960	53298	2163
961	53360	2107
962	53414	2052
963	53464	1996
964	53515	1940
965	53556	1885
966	53613	1829
967	53681	1774
968	53727	1718
969	53788	1663
970	53842	1608
971	53893	1552
972	53951	1497
973	54018	1441
974	54077	1386
975	54139	1331
976	54199	1275
977	54254	1220
978	54303	1164
979	54358	1109
980	54430	1054
981	54489	998
982	54548	943
983	54631	888
984	54690	832
985	54753	777
986	54819	722
987	54879	666
988	54932	610
989	54997	555
990	55054	499
991	55120	444
992	55174	388
993	55228	333
994	55285	277
995	55324	222
996	55363	166
997	55433	111
998	55503	55
999	55565	0
